id,invoice_id,stripe_invoice_line_id,stripe_price_id,stripe_product_id,stripe_subscription_id,stripe_subscription_item_id,interval,amount,currency,description,created_at,updated_at
88,81,il_1MI8fTE224EiyBrBBurFtS9R,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1K9ohbE224EiyBrBnLXClVzy,si_KpTeWvdKd76lrX,year,6000,usd,1 × Annual Premium Plan (at $60.00 / year),2022-12-23 00:40:00,2022-12-23 00:40:00
89,82,il_1MIxpwE224EiyBrBI1fhM6zv,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-12-25 07:18:12,2022-12-25 07:18:12
90,83,il_1MJHbvE224EiyBrBiCLEqJvz,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-12-26 04:25:04,2022-12-26 04:25:04
91,84,il_1MM5daE224EiyBrB1VulBF6J,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LojmZE224EiyBrBnNkrdjvQ,si_MXpRs3QnL2JHMM,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2023-01-02 22:14:23,2023-01-02 22:14:23
92,85,il_1MNI4GE224EiyBrBcVilRNlo,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KEy5LE224EiyBrBR2wypNTb,si_Kuni1DRS5mgpij,year,6000,usd,1 × Annual Premium Plan (at $60.00 / year),2023-01-06 05:42:53,2023-01-06 05:42:53
93,86,il_1MNIm9E224EiyBrB02ZqWvKI,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2023-01-06 06:28:13,2023-01-06 06:28:13
94,87,il_1MNM3pE224EiyBrBBSo9LnRi,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2023-01-06 09:58:41,2023-01-06 09:58:41
95,88,il_1MP6h9E224EiyBrBjzgwiNYV,plan_Kvckteq8tcA1YQ,prod_Jx5sSUTk5MoJfa,sub_1KGmbHE224EiyBrBdk8wf81O,si_KwfzexP2hQovUn,year,4800,usd,1 × Annual Premium Plan (at $48.00 / year),2023-01-11 05:58:31,2023-01-11 05:58:31
96,89,il_1MUCcTE224EiyBrBkfHv8okY,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2023-01-25 07:18:46,2023-01-25 07:18:46
97,90,il_1MUWNkE224EiyBrBwbGaFoFB,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2023-01-26 04:24:52,2023-01-26 04:24:52
98,91,il_1MXKPrE224EiyBrBzrufx1EW,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LojmZE224EiyBrBnNkrdjvQ,si_MXpRs3QnL2JHMM,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2023-02-02 22:14:40,2023-02-02 22:14:40
99,92,il_1MYaucE224EiyBrBl5ZkoEzv,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2023-02-06 10:03:39,2023-02-06 10:03:39
100,93,il_1MfROvE224EiyBrBqIvYI5bG,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2023-02-25 07:19:14,2023-02-25 07:19:14
