id,project_id,type,data,created_at,updated_at
653,70,overall_status_updated,"{""status"":""red""}",2022-03-30 02:37:56,2022-03-30 02:37:56
654,70,constraint_status_updated,"{""status"":""red"",""constraint"":""schedule""}",2022-03-30 02:38:03,2022-03-30 02:38:03
655,86,project_mode_updated,"{""mode"":""closed""}",2022-03-30 03:35:48,2022-03-30 03:35:48
656,4,approved_revised_end_date_updated,,2022-03-30 03:46:11,2022-03-30 03:46:11
657,87,project_created,,2022-03-30 14:45:33,2022-03-30 14:45:33
658,87,overall_status_updated,"{""status"":""green""}",2022-03-30 14:45:33,2022-03-30 14:45:33
659,87,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-30 14:45:33,2022-03-30 14:45:33
660,87,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-30 14:45:33,2022-03-30 14:45:33
661,87,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-30 14:45:33,2022-03-30 14:45:33
662,87,project_mode_updated,"{""mode"":""closed""}",2022-03-30 15:11:38,2022-03-30 15:11:38
663,88,project_created,,2022-03-30 15:23:22,2022-03-30 15:23:22
664,88,overall_status_updated,"{""status"":""green""}",2022-03-30 15:23:22,2022-03-30 15:23:22
665,88,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-30 15:23:22,2022-03-30 15:23:22
666,88,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-30 15:23:22,2022-03-30 15:23:22
667,88,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-30 15:23:22,2022-03-30 15:23:22
668,88,project_mode_updated,"{""mode"":""closed""}",2022-03-30 15:35:50,2022-03-30 15:35:50
669,89,project_created,,2022-03-30 15:39:07,2022-03-30 15:39:07
670,89,overall_status_updated,"{""status"":""green""}",2022-03-30 15:39:07,2022-03-30 15:39:07
671,89,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-30 15:39:07,2022-03-30 15:39:07
672,89,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-30 15:39:07,2022-03-30 15:39:07
673,89,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-30 15:39:07,2022-03-30 15:39:07
674,89,project_mode_updated,"{""mode"":""closed""}",2022-03-31 04:48:24,2022-03-31 04:48:24
675,90,project_created,,2022-03-31 05:06:40,2022-03-31 05:06:40
676,90,overall_status_updated,"{""status"":""green""}",2022-03-31 05:06:40,2022-03-31 05:06:40
677,90,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-31 05:06:40,2022-03-31 05:06:40
678,90,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-31 05:06:40,2022-03-31 05:06:40
679,90,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-31 05:06:40,2022-03-31 05:06:40
680,4,approved_revised_end_date_updated,,2022-03-31 05:11:56,2022-03-31 05:11:56
681,91,project_created,,2022-03-31 06:39:34,2022-03-31 06:39:34
682,91,overall_status_updated,"{""status"":""green""}",2022-03-31 06:39:34,2022-03-31 06:39:34
683,91,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-31 06:39:34,2022-03-31 06:39:34
684,91,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-31 06:39:34,2022-03-31 06:39:34
685,91,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-31 06:39:34,2022-03-31 06:39:34
686,91,delivery_phase_updated,"{""phase"":""planning""}",2022-03-31 06:39:58,2022-03-31 06:39:58
687,70,approved_revised_end_date_updated,,2022-03-31 07:04:02,2022-03-31 07:04:02
688,4,approved_revised_end_date_updated,,2022-03-31 12:46:24,2022-03-31 12:46:24
689,12,overall_status_updated,"{""status"":""yellow""}",2022-03-31 15:58:26,2022-03-31 15:58:26
690,12,overall_status_updated,"{""status"":""red""}",2022-03-31 15:59:02,2022-03-31 15:59:02
691,12,overall_status_updated,"{""status"":""yellow""}",2022-03-31 16:01:47,2022-03-31 16:01:47
692,12,constraint_status_updated,"{""status"":""yellow"",""constraint"":""scope""}",2022-03-31 16:05:15,2022-03-31 16:05:15
693,92,project_created,,2022-04-01 13:23:44,2022-04-01 13:23:44
694,92,overall_status_updated,"{""status"":""green""}",2022-04-01 13:23:44,2022-04-01 13:23:44
695,92,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-01 13:23:44,2022-04-01 13:23:44
696,92,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-01 13:23:44,2022-04-01 13:23:44
697,92,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-01 13:23:44,2022-04-01 13:23:44
698,93,project_created,,2022-04-01 13:24:24,2022-04-01 13:24:24
699,93,overall_status_updated,"{""status"":""green""}",2022-04-01 13:24:24,2022-04-01 13:24:24
700,93,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-01 13:24:24,2022-04-01 13:24:24
701,93,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-01 13:24:24,2022-04-01 13:24:24
702,93,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-01 13:24:24,2022-04-01 13:24:24
703,90,project_mode_updated,"{""mode"":""closed""}",2022-04-01 13:44:45,2022-04-01 13:44:45
704,1,project_mode_updated,"{""mode"":""open""}",2022-04-01 13:45:22,2022-04-01 13:45:22
705,94,project_created,,2022-04-01 15:24:20,2022-04-01 15:24:20
706,94,overall_status_updated,"{""status"":""green""}",2022-04-01 15:24:20,2022-04-01 15:24:20
707,94,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-01 15:24:20,2022-04-01 15:24:20
708,94,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-01 15:24:20,2022-04-01 15:24:20
709,94,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-01 15:24:20,2022-04-01 15:24:20
710,92,project_mode_updated,"{""mode"":""closed""}",2022-04-01 15:25:22,2022-04-01 15:25:22
711,93,project_mode_updated,"{""mode"":""closed""}",2022-04-01 15:25:26,2022-04-01 15:25:26
712,94,project_mode_updated,"{""mode"":""closed""}",2022-04-01 15:27:23,2022-04-01 15:27:23
713,78,project_mode_updated,"{""mode"":""closed""}",2022-04-01 15:27:27,2022-04-01 15:27:27
714,78,project_mode_updated,"{""mode"":""open""}",2022-04-01 15:28:22,2022-04-01 15:28:22
715,95,project_created,,2022-04-02 14:24:06,2022-04-02 14:24:06
716,95,overall_status_updated,"{""status"":""green""}",2022-04-02 14:24:06,2022-04-02 14:24:06
717,95,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-02 14:24:06,2022-04-02 14:24:06
718,95,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-02 14:24:06,2022-04-02 14:24:06
719,95,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-02 14:24:06,2022-04-02 14:24:06
720,11,end_date_updated,,2022-04-02 15:32:21,2022-04-02 15:32:21
721,13,project_mode_updated,"{""mode"":""closed""}",2022-04-02 15:33:35,2022-04-02 15:33:35
722,14,escalated_issue_updated,,2022-04-02 15:35:21,2022-04-02 15:35:21
723,96,project_created,,2022-04-02 15:44:43,2022-04-02 15:44:43
724,96,overall_status_updated,"{""status"":""green""}",2022-04-02 15:44:43,2022-04-02 15:44:43
725,96,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-02 15:44:43,2022-04-02 15:44:43
726,96,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-02 15:44:43,2022-04-02 15:44:43
727,96,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-02 15:44:43,2022-04-02 15:44:43
728,97,project_created,,2022-04-05 13:19:53,2022-04-05 13:19:53
729,97,overall_status_updated,"{""status"":""green""}",2022-04-05 13:19:53,2022-04-05 13:19:53
730,97,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-05 13:19:53,2022-04-05 13:19:53
731,97,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-05 13:19:53,2022-04-05 13:19:53
732,97,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-05 13:19:53,2022-04-05 13:19:53
733,76,start_date_updated,,2022-04-05 13:42:35,2022-04-05 13:42:35
734,76,end_date_updated,,2022-04-05 13:42:58,2022-04-05 13:42:58
735,76,approved_revised_end_date_updated,,2022-04-05 13:43:19,2022-04-05 13:43:19
736,97,start_date_updated,,2022-04-05 13:46:14,2022-04-05 13:46:14
737,97,approved_revised_end_date_updated,,2022-04-05 13:46:42,2022-04-05 13:46:42
738,97,end_date_updated,,2022-04-05 13:46:57,2022-04-05 13:46:57
739,97,end_date_updated,,2022-04-05 13:47:08,2022-04-05 13:47:08
740,77,escalated_issue_updated,,2022-04-05 15:53:19,2022-04-05 15:53:19
741,97,delivery_phase_updated,"{""phase"":""execution""}",2022-04-06 05:32:15,2022-04-06 05:32:15
742,27,project_mode_updated,"{""mode"":""on_hold""}",2022-04-06 05:51:58,2022-04-06 05:51:58
743,11,project_mode_updated,"{""mode"":""complete""}",2022-04-07 06:13:02,2022-04-07 06:13:02
744,11,project_mode_updated,"{""mode"":""closed""}",2022-04-07 06:13:17,2022-04-07 06:13:17
745,12,delivery_phase_updated,"{""phase"":""phase 1""}",2022-04-09 06:02:14,2022-04-09 06:02:14
746,4,approved_revised_end_date_updated,,2022-04-11 09:58:20,2022-04-11 09:58:20
747,4,approved_revised_end_date_updated,,2022-04-11 09:59:40,2022-04-11 09:59:40
748,4,escalated_issue_updated,,2022-04-11 13:01:41,2022-04-11 13:01:41
749,98,project_created,,2022-04-12 07:25:49,2022-04-12 07:25:49
750,98,overall_status_updated,"{""status"":""green""}",2022-04-12 07:25:49,2022-04-12 07:25:49
751,98,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-12 07:25:49,2022-04-12 07:25:49
752,98,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-12 07:25:49,2022-04-12 07:25:49
753,98,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-04-12 07:25:49,2022-04-12 07:25:49
754,91,start_date_updated,,2022-04-12 08:05:39,2022-04-12 08:05:39
755,91,original_budget_updated,,2022-04-12 08:08:13,2022-04-12 08:08:13
756,91,currency_updated,"{""currency"":""cad""}",2022-04-12 08:08:17,2022-04-12 08:08:17
757,4,approved_revised_end_date_updated,,2022-04-12 08:33:54,2022-04-12 08:33:54
758,96,delivery_phase_updated,"{""phase"":""planning""}",2022-04-12 10:45:22,2022-04-12 10:45:22
759,95,delivery_phase_updated,"{""phase"":""initiation""}",2022-04-12 10:45:54,2022-04-12 10:45:54
760,98,delivery_phase_updated,"{""phase"":""execution""}",2022-04-12 10:46:09,2022-04-12 10:46:09
761,77,delivery_phase_updated,"{""phase"":""execution""}",2022-04-12 10:46:21,2022-04-12 10:46:21
762,4,work_week_type_updated,"{""work_week_type"":""7_day""}",2022-04-16 06:08:21,2022-04-16 06:08:21
763,74,approved_revised_budget_updated,,2022-04-25 10:45:42,2022-04-25 10:45:42
764,74,project_mode_updated,"{""mode"":""closed""}",2022-04-25 10:47:15,2022-04-25 10:47:15
765,83,overall_status_updated,"{""status"":""green""}",2022-04-26 04:18:16,2022-04-26 04:18:16
766,83,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-04-26 04:18:25,2022-04-26 04:18:25
767,83,constraint_status_updated,"{""status"":""yellow"",""constraint"":""schedule""}",2022-04-26 04:18:31,2022-04-26 04:18:31
768,83,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-04-26 04:18:37,2022-04-26 04:18:37
769,82,overall_status_updated,"{""status"":""yellow""}",2022-04-26 04:31:27,2022-04-26 04:31:27
